review_id,text_raw,human_label,human_confidence,reviewer_comment,reviewed_by_student
FINBERT-040,Stock Buybacks vs. Dividends: Which is Most Tax-Efficient?,,,,
FINBERT-041,"Noteworthy Monday Option Activity: AAL, ORCL, GS",,,,
FINBERT-042,Disney World's Summertime Discount Is More Brilliant Than Desperate,,,,
FINBERT-043,Are Options Traders Betting on a Big Move in Advanced Micro Devices (AMD) Stock?,,,,
FINBERT-044,How Close Is Wells Fargo to Exiting Its Asset Cap?,,,,
FINBERT-045,Argentina says Chevron to invest $500 mln in Vaca Muerta shale area,,,,
FINBERT-046,"Shares of several industrials companies are trading lower with the overall market as coronavirus cases increase in some US states that have reopened, leading to concerns of a second wave of the virus.",,,,
FINBERT-047,Forget Royal Dutch Shell -- Here Are 2 Better Dividend Stocks,,,,
FINBERT-048,"Notable Friday Option Activity: HUBS, OXY, SAGE",,,,
FINBERT-049,US FDA approves Astellas' combination therapy for bladder cancer,,,,
FINBERT-050,"Disney's 2021 Earnings Will Still Be Weak, One Bear Says",,,,
FINBERT-051,"Major AI Updates This Past Week From Tesla, AMD, ASML, TSMC, Microsoft, and Others",,,,
FINBERT-052,MRVL Stock Alert: 14 Reasons Why Marvell Technology Investors Are Feeling Marvelous Today,,,,
FINBERT-053,First Week of EA February 19th Options Trading,,,,
FINBERT-054,Tuesday's Market Minute: Earnings Season 2020,,,,
FINBERT-055,Thursday's ETF with Unusual Volume: IEZ,,,,
FINBERT-056,"The Zacks Analyst Blog Highlights United Parcel Service, and FedEx",,,,
FINBERT-057,2 Bargain Tech Stocks to Buy Now,,,,
FINBERT-058,AMD Shares Down 2%; MarketWatch Opinion Piece From Futurum Research's Daniel Newman 'Why AMD's best days are behind it',,,,
FINBERT-059,"Netflix Stock: Next Stop, $740?",,,,
FINBERT-060,"Notable Tuesday Option Activity: NKE, BAC, ORCL",,,,
FINBERT-061,Supply Chain Woes Should Not Impact NIKE's (NYSE:NKE) Dividend,,,,
FINBERT-062,"If You Invested $1000 in Adobe Systems a Decade Ago, This is How Much It'd Be Worth Now",,,,
FINBERT-063,"CCI, CCI-PA DEADLINE NOTICE: ROSEN, A TOP LAW FIRM, Reminds Crown Castle International Corp. ...",,,,
FINBERT-064,2 Financial Stocks I'd Buy Right Now,,,,
FINBERT-065,"GLOBAL MARKETS-World shares mixed amid hopes for business pickup, oil slips",,,,
FINBERT-066,"Shares of several basic materials companies are trading higher. The Federal Reserve on Monday Morning announced new stimulus measures, which has moved stocks higher. Basic materials demand outlook has been pressured by global economic disruption.",,,,
FINBERT-067,Worried A Stock Market Crash Is Coming? 3 No-Brainer Dividend Stocks You Don't Need to Wait to Buy,,,,
FINBERT-068,Traders Hit the Gas Pedal on Oil Stocks as OPEC+ Convenes,,,,
FINBERT-069,A Recession Won't Slow Down This Dynamic Dividend Stock,,,,
FINBERT-070,Forget What You've Heard: This REIT Isn't Seeing Any Slowdown,,,,
FINBERT-071,Dominion Energy Donates $–.6 Million to Nonprofit Partners Meeting Critical Community Needs,,,,
FINBERT-072,Nike shareholders push for more reporting on pay equity,,,,
FINBERT-073,Will Disney Bring Back Its Dividend Back Next Week?,,,,
FINBERT-074,Goldman Sachs highlights diversity in new managing director class,,,,
FINBERT-075,3 Reasons I Am Excited About Starbucks Stock,,,,
FINBERT-076,Is Realty Income's (O) Latest Dividend Hike Sustainable?,,,,
FINBERT-077,"Dow Snags Record Close, Indexes Nab Weekly Wins",,,,
FINBERT-078,Looking for the Largest REITs? Start With This One,,,,
FINBERT-079,Coronavirus: Health Experts Say That Crowded Events Need to Stay Closed Until the Fall of 2021,,,,
FINBERT-080,Abbott (ABT) Advances But Underperforms Market: Key Facts,,,,
FINBERT-081,3 AI Stocks That Are Revolutionizing Manufacturing,,,,
FINBERT-082,"Crown Castle's (CCI) Q1 AFFO Lags Estimates, Revenues Up Y/Y",,,,
FINBERT-083,Disney's (DIS) Latest Indiana Jones Movie Hits the Right Chord,,,,
FINBERT-084,"After Hours Most Active for Nov 15, 2022 : CCL, SHY, BAC, INTC, ATUS, AAPL, EMB, EGHT, LUMN, EW, WFC, AMZN",,,,
FINBERT-085,"Noteworthy Thursday Option Activity: WDC, ADBE, EGOV",,,,
FINBERT-086,GILD Named 'Top Dividend Stock of the Nasdaq 100' at Dividend Channel With 3.9% Yield,,,,
FINBERT-087,Report: Walmart To Launch Membership Program To Take On Amazon Prime,,,,
FINBERT-088,AMGN Dividend Yield Pushes Past 3%,,,,
FINBERT-089,Good Stocks To Buy Now? 4 Enterprise Software Stocks In Focus,,,,
FINBERT-090,"Financial Sector Update for 11/09/2023: AFRM, MARA, MS",,,,
FINBERT-091,Is Duke Energy (DUK) Outperforming Other Utilities Stocks This Year?,,,,
FINBERT-092,Morgan Stanley (MS) Stock Moves -0.36%: What You Should Know,,,,
FINBERT-093,US STOCKS-Sliding bank shares drag Wall Street down in choppy trade,,,,
FINBERT-094,UPS plans heavy holiday fees amid coronavirus-related shipment surge-WSJ,,,,
FINBERT-095,Why Mastercard and Visa Stocks Both Just Popped,,,,
FINBERT-096,This Trio Proves You Can Still Find High-Yield Stocks,,,,
FINBERT-097,Starbucks (SBUX) Rewards Investors With 8.2% Dividend Hike,,,,
FINBERT-098,"After Hours Most Active for Sep 14, 2021 : ZNGA, INTC, AAPL, PCG, VIPS, GIS, JCS, UEPS, GOTU, BABA, MRK, CMCSA",,,,
FINBERT-099,Is iBio Stock Worth the Risk as Coronavirus Continues to Spread?,,,,
FINBERT-100,"Notable Tuesday Option Activity: WHR, CZR, UPS",,,,
FINBERT-101,"AbbVie Confirms Outlook Of Over $15 Bln In Combined Risk-Adj. Sales For Rinvoq, Skyrizi In 2025",,,,
FINBERT-102,7 Stocks to Buy if Covid-19 Becomes Endemic,,,,
FINBERT-103,"Unusual Options Activity in Apple, Home Depot and 8 Other Stocks",,,,
FINBERT-104,"Dominion Energy, Inc (D) Q1 2021 Earnings Call Transcript",,,,
FINBERT-105,"Iovance (IOVA) Q1 Earnings Beat, Lifileucel BLA on Track",,,,
FINBERT-106,T-Mobile (TMUS) Surpasses Q2 Earnings Estimates,,,,
FINBERT-107,"Norway oil, gas firms raise investment forecasts",,,,
FINBERT-108,"MSCI Q2 Earnings Beat, Recurring Subscriptions Rise Y/Y",,,,
FINBERT-109,Gilead Sciences Option Alert: Jan 17 $65 Calls at the Ask: 1500 @ $1.311 vs 32458 OI; Earnings 2/3 After Close [est] Ref=$65.1002,,,,
FINBERT-110,Best Value Stocks To Buy For 2023? 3 To Watch,,,,
FINBERT-111,AT&T Q4 20 Earnings Conference Call At 8:30 AM ET,,,,
FINBERT-112,Is Amgen a Stock to Buy?,,,,
FINBERT-113,"Quarterly Earnings Beats for Exxon, Clorox, AbbVie & More",,,,
FINBERT-114,"QQQ, COST, CSCO, TMUS: ETF Outflow Alert",,,,
FINBERT-115,"Dow Jones Rushes 230 Points To Record High Thanks To Disney, Apple",,,,
FINBERT-116,Abbott (ABT) Rides on Nutrition Recovery Amid Low Testing Sales,,,,
FINBERT-117,Why Shares of Hyzon Motors Are Skyrocketing Today,,,,
FINBERT-118,2 Stocks That Are Perfect to Buy Now and Hold Until Retirement,,,,
FINBERT-119,Is Abbott Laboratories Still a Good Dividend Stock to Buy?,,,,
FINBERT-120,Morgan Stanley profit shrinks as deal slump lingers,,,,
FINBERT-121,"Stock Charts To Watch - Thursday, April 2",,,,
FINBERT-122,EXCLUSIVE -Reckitt expects U.S. infant formula shortage until spring,,,,
FINBERT-123,Even Frodo Can't Save AMC Stock Now,,,,
FINBERT-124,BlackRock Cuts Stake in Nike (NKE),,,,
FINBERT-125,"Exxon, union meet for 2nd day to discuss Texas refinery lockout -official",,,,
FINBERT-126,"S&P 500 Movers: WDC, V",,,,
FINBERT-127,Buy EA Stock as it Advances to a New Level,,,,
FINBERT-128,New Apple Launch Event Set for Next Tuesday,,,,
FINBERT-129,Here's Why NextEra Energy Is a No-Brainer Dividend Growth Stock,,,,
FINBERT-130,October 13th Options Now Available For DuPont (DD),,,,
FINBERT-131,UnitedHealth Group beats quarterly profit estimates on lower medical costs,,,,
FINBERT-132,Looking for Stocks with Positive Earnings Momentum? Check Out These 2 Finance Names,,,,
FINBERT-133,"GDP, Fed Speakers and Other Can't Miss Items This Week",,,,
FINBERT-134,Britain's $1.3 bln semiconductor support plan gets cool response,,,,
FINBERT-135,Implied RPV Analyst Target Price: $95,,,,
FINBERT-136,Davos 2023: India's ReNew Power exploring Egypt green hydrogen project,,,,
FINBERT-137,Why Marvell Technology Stock Soared 29% Friday,,,,
FINBERT-138,Less than 3% of U.S. small businesses could face tax hikes under Biden plan -White House,,,,
FINBERT-139,AMD Pensando DPUs Help VMware Reduce Operational Costs,,,,
FINBERT-140,"Unusual Put Option Trade in Walt Disney Co (DIS) Worth $34,807.50K",,,,
FINBERT-141,4 Potential Winners From Netflix's Advertising Plans,,,,
FINBERT-142,September 10th Options Now Available For MMM,,,,
FINBERT-143,Earnings Preview: Electronic Arts (EA) Q2 Earnings Expected to Decline,,,,
FINBERT-144,4 Energy Stocks That Can Survive the Oil Crash,,,,
FINBERT-145,3 Best Buffett Stocks to Buy for the Long Haul,,,,
FINBERT-146,Wall Street set for subdued open as virus cases rise,,,,
FINBERT-147,"3 Stock-Split Stocks Set to Soar by as Much as 101% From Their 52-Week Lows, According to Wall Street",,,,
FINBERT-148,"EXCLUSIVE-Ex-director seeks to stall $2 bln Paytm IPO, company calls it harassment",,,,
FINBERT-149,IMAX Partners With NCG Cinemas for 3 Locations in the US,,,,
FINBERT-150,"After Hours Most Active for Apr 28, 2021 : CNP, F, FB, GOLD, UNIT, AAPL, VICI, VCLT, ON, JWSM, QCOM, BP",,,,
