date,ticker,sector,title,url,publisher,text_raw,trading_date,mapping_status,calendar_days_forward,probability_positive,probability_negative,probability_neutral,finbert_score,finbert_label,vader_compound,vader_label,label_agreement,opposite_sign,neutral_non_neutral,year,sampling_stratum,population_stratum_count,stratum_sample_count,sampling_probability,sampling_weight,sample_purpose,selection_rule,validation_status,student_label,student_confidence,student_notes,student_reviewed_by
2020-10-15,DIS,Consumer,Netflix Earnings Preview: 3 Key Questions For the Leading Streamer,https://www.nasdaq.com/articles/netflix-earnings-preview%3A-3-key-questions-for-the-leading-streamer-2020-10-15,,Netflix Earnings Preview: 3 Key Questions For the Leading Streamer,2020-10-15,same_trading_day,0,0.0288740135729312,0.0282449591904878,0.9428810477256776,0.0006290543824434,neutral,0.0,neutral,True,False,False,2020,Consumer|2020,6014,6,0.0009976720984369804,1002.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-03-02,WMT,Consumer,Report: Walmart To Launch Membership Program To Take On Amazon Prime,https://www.nasdaq.com/articles/report%3A-walmart-to-launch-membership-program-to-take-on-amazon-prime-2020-03-02,,Report: Walmart To Launch Membership Program To Take On Amazon Prime,2020-03-02,same_trading_day,0,0.8280047178268433,0.0085451481863856,0.1634500920772552,0.8194595696404576,positive,0.1779,positive,True,False,False,2020,Consumer|2020,6014,6,0.0009976720984369804,1002.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-06-22,WMT,Consumer,Wall Street set for subdued open as virus cases rise,https://www.nasdaq.com/articles/wall-street-set-for-subdued-open-as-virus-cases-rise-2020-06-22,,Wall Street set for subdued open as virus cases rise,2020-06-22,same_trading_day,0,0.0691972598433494,0.7052003145217896,0.2256024181842804,-0.6360030546784401,negative,0.0,neutral,False,False,True,2020,Consumer|2020,6014,6,0.0009976720984369804,1002.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-11-06,DIS,Consumer,Will Disney Bring Back Its Dividend Back Next Week?,https://www.nasdaq.com/articles/will-disney-bring-back-its-dividend-back-next-week-2020-11-06,,Will Disney Bring Back Its Dividend Back Next Week?,2020-11-06,same_trading_day,0,0.0628430768847465,0.0465060956776142,0.8906509280204773,0.0163369812071323,neutral,0.0,neutral,True,False,False,2020,Consumer|2020,6014,6,0.0009976720984369804,1002.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-12-01,KO,Consumer,2 Monster Growth Stocks to Buy Now and Hold,https://www.nasdaq.com/articles/2-monster-growth-stocks-to-buy-now-and-hold-1,,2 Monster Growth Stocks to Buy Now and Hold,2021-12-01,same_trading_day,0,0.0807600393891334,0.0144953038543462,0.9047446846961976,0.0662647355347871,neutral,0.3818,positive,False,False,True,2021,Consumer|2021,3877,4,0.0010317255610007739,969.25,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-02-04,DIS,Consumer,7 Safe Growth Stocks to Put In Your Buy-and-Hold Portfolio,https://www.nasdaq.com/articles/7-safe-growth-stocks-to-put-in-your-buy-and-hold-portfolio-2021-02-04,,7 Safe Growth Stocks to Put In Your Buy-and-Hold Portfolio,2021-02-04,same_trading_day,0,0.0511288233101367,0.021183356642723,0.9276878237724304,0.0299454666674137,neutral,0.6705,positive,False,False,True,2021,Consumer|2021,3877,4,0.0010317255610007739,969.25,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-08-12,WMT,Consumer,"EXCLUSIVE-Ex-director seeks to stall $2 bln Paytm IPO, company calls it harassment",https://www.nasdaq.com/articles/exclusive-ex-director-seeks-to-stall-%242-bln-paytm-ipo-company-calls-it-harassment-2021-08,,"EXCLUSIVE-Ex-director seeks to stall $2 bln Paytm IPO, company calls it harassment",2021-08-12,same_trading_day,0,0.0199383683502674,0.7348450422286987,0.2452166378498077,-0.7149066738784313,negative,-0.6486,negative,True,False,False,2021,Consumer|2021,3877,4,0.0010317255610007739,969.25,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-05-14,WMT,Consumer,Less than 3% of U.S. small businesses could face tax hikes under Biden plan -White House,https://www.nasdaq.com/articles/less-than-3-of-u.s.-small-businesses-could-face-tax-hikes-under-biden-plan-white-house,,Less than 3% of U.S. small businesses could face tax hikes under Biden plan -White House,2021-05-14,same_trading_day,0,0.1405476182699203,0.0421112887561321,0.8173410892486572,0.0984363295137882,neutral,0.0,neutral,True,False,False,2021,Consumer|2021,3877,4,0.0010317255610007739,969.25,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-04-07,DIS,Consumer,Disney World's Summertime Discount Is More Brilliant Than Desperate,https://www.nasdaq.com/articles/disney-worlds-summertime-discount-is-more-brilliant-than-desperate,,Disney World's Summertime Discount Is More Brilliant Than Desperate,2022-04-07,same_trading_day,0,0.2088206857442855,0.0123210530728101,0.7788582444190979,0.1964996326714754,neutral,0.3673,positive,False,False,True,2022,Consumer|2022,4918,5,0.0010166734444896298,983.6,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-10-13,DIS,Consumer,Netflix ad-supported plan to launch in November at $7 a month,https://www.nasdaq.com/articles/netflix-ad-supported-plan-to-launch-in-november-at-%247-a-month,,Netflix ad-supported plan to launch in November at $7 a month,2022-10-13,same_trading_day,0,0.1336703896522522,0.0100277615711092,0.8563018441200256,0.1236426280811429,neutral,0.0,neutral,True,False,False,2022,Consumer|2022,4918,5,0.0010166734444896298,983.6,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-09-20,NKE,Consumer,"Notable Tuesday Option Activity: NKE, BAC, ORCL",https://www.nasdaq.com/articles/notable-tuesday-option-activity%3A-nke-bac-orcl,,"Notable Tuesday Option Activity: NKE, BAC, ORCL",2022-09-20,same_trading_day,0,0.0416065827012062,0.0187247823923826,0.9396686553955078,0.0228818003088235,neutral,0.0,neutral,True,False,False,2022,Consumer|2022,4918,5,0.0010166734444896298,983.6,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-09-29,SBUX,Consumer,Starbucks (SBUX) Rewards Investors With 8.2% Dividend Hike,https://www.nasdaq.com/articles/starbucks-sbux-rewards-investors-with-8.2-dividend-hike,,Starbucks (SBUX) Rewards Investors With 8.2% Dividend Hike,2022-09-29,same_trading_day,0,0.9473753571510316,0.0159860271960496,0.0366385653614997,0.9313893299549818,positive,0.4767,positive,True,False,False,2022,Consumer|2022,4918,5,0.0010166734444896298,983.6,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-12-09,KO,Consumer,Wall Street Analysts Look Bullish on Coke (KO): Should You Buy?,https://www.nasdaq.com/articles/wall-street-analysts-look-bullish-on-coke-ko%3A-should-you-buy,,Wall Street Analysts Look Bullish on Coke (KO): Should You Buy?,2022-12-09,same_trading_day,0,0.1284568458795547,0.0467743687331676,0.8247687220573425,0.0816824771463871,neutral,0.0,neutral,True,False,False,2022,Consumer|2022,4918,5,0.0010166734444896298,983.6,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-02-01,NKE,Consumer,BlackRock Cuts Stake in Nike (NKE),https://www.nasdaq.com/articles/blackrock-cuts-stake-in-nike-nke,,BlackRock Cuts Stake in Nike (NKE),2023-02-01,same_trading_day,0,0.0302563831210136,0.2740432024002075,0.6957004070281982,-0.2437868192791938,neutral,-0.296,negative,False,False,True,2023,Consumer|2023,4715,4,0.000848356309650053,1178.75,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-09-10,DIS,Consumer,Disney's Streaming Business Needs Help. Owning All of Hulu Probably Won't Provide It.,https://www.nasdaq.com/articles/disneys-streaming-business-needs-help.-owning-all-of-hulu-probably-wont-provide-it.,,Disney's Streaming Business Needs Help. Owning All of Hulu Probably Won't Provide It.,2023-09-11,next_trading_day,1,0.0541898310184478,0.211129605770111,0.7346805930137634,-0.1569397747516632,neutral,0.4019,positive,False,False,True,2023,Consumer|2023,4715,4,0.000848356309650053,1178.75,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-10-11,DIS,Consumer,IMAX Partners With NCG Cinemas for 3 Locations in the US,https://www.nasdaq.com/articles/imax-partners-with-ncg-cinemas-for-3-locations-in-the-us,,IMAX Partners With NCG Cinemas for 3 Locations in the US,2023-10-11,same_trading_day,0,0.7191961407661438,0.00723368069157,0.27357017993927,0.7119624600745738,positive,0.0,neutral,False,False,True,2023,Consumer|2023,4715,4,0.000848356309650053,1178.75,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-09-21,DIS,Consumer,"Unusual Put Option Trade in Walt Disney Co (DIS) Worth $34,807.50K",https://www.nasdaq.com/articles/unusual-put-option-trade-in-walt-disney-co-dis-worth-%2434807.50k,,"Unusual Put Option Trade in Walt Disney Co (DIS) Worth $34,807.50K",2023-09-21,same_trading_day,0,0.0470307655632495,0.0158847421407699,0.9370844960212708,0.0311460234224796,neutral,0.2263,positive,False,False,True,2023,Consumer|2023,4715,4,0.000848356309650053,1178.75,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-04-27,COP,Energy,4 Energy Stocks That Can Survive the Oil Crash,https://www.nasdaq.com/articles/4-energy-stocks-that-can-survive-the-oil-crash-2020-04-27,,4 Energy Stocks That Can Survive the Oil Crash,2020-04-27,same_trading_day,0,0.106428362429142,0.0128034949302673,0.8807681202888489,0.0936248674988746,neutral,-0.1531,negative,False,False,True,2020,Energy|2020,2860,3,0.001048951048951049,953.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-04-02,OXY,Energy,"Stock Charts To Watch - Thursday, April 2",https://talkmarkets.com/content/stock-charts-to-watch-thursday-april-2?post=257125,TalkMarkets,"Stock Charts To Watch - Thursday, April 2",2020-04-02,same_trading_day,0,0.032347198575735,0.0922564268112182,0.8753963708877563,-0.0599092282354831,neutral,0.0,neutral,True,False,False,2020,Energy|2020,2860,3,0.001048951048951049,953.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-11-16,CVX,Energy,"Why ExxonMobil, Chevron, Kinder Morgan, and Other Energy Stocks Jumped Today",https://www.nasdaq.com/articles/why-exxonmobil-chevron-kinder-morgan-and-other-energy-stocks-jumped-today-2020-11-16,,"Why ExxonMobil, Chevron, Kinder Morgan, and Other Energy Stocks Jumped Today",2020-11-16,same_trading_day,0,0.0911901220679283,0.065443105995655,0.8433667421340942,0.0257470160722732,neutral,0.6486,positive,False,False,True,2020,Energy|2020,2860,3,0.001048951048951049,953.3333333333334,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-10-27,XOM,Energy,"Exxon, union meet for 2nd day to discuss Texas refinery lockout -official",https://www.nasdaq.com/articles/exxon-union-meet-for-2nd-day-to-discuss-texas-refinery-lockout-official-2021-10-27,,"Exxon, union meet for 2nd day to discuss Texas refinery lockout -official",2021-10-27,same_trading_day,0,0.0423105508089065,0.1233494728803634,0.8343400359153748,-0.0810389220714569,neutral,0.0,neutral,True,False,False,2021,Energy|2021,1966,2,0.001017293997965412,983.0,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-12-23,SLB,Energy,Thursday's ETF with Unusual Volume: IEZ,https://www.nasdaq.com/articles/thursdays-etf-with-unusual-volume%3A-iez,,Thursday's ETF with Unusual Volume: IEZ,2021-12-23,same_trading_day,0,0.1204014793038368,0.0863083004951477,0.7932902574539185,0.0340931788086891,neutral,0.0,neutral,True,False,False,2021,Energy|2021,1966,2,0.001017293997965412,983.0,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-02-25,XOM,Energy,Is Schwab Fundamental U.S. Broad Market Index ETF (FNDB) a Strong ETF Right Now?,https://www.nasdaq.com/articles/is-schwab-fundamental-u.s.-broad-market-index-etf-fndb-a-strong-etf-right-now-0,,Is Schwab Fundamental U.S. Broad Market Index ETF (FNDB) a Strong ETF Right Now?,2022-02-25,same_trading_day,0,0.5718244314193726,0.016546981409192,0.4116285741329193,0.5552774500101805,positive,0.5106,positive,True,False,False,2022,Energy|2022,3935,4,0.0010165184243964421,983.75,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-08-18,COP,Energy,"Norway oil, gas firms raise investment forecasts",https://www.nasdaq.com/articles/norway-oil-gas-firms-raise-investment-forecasts,,"Norway oil, gas firms raise investment forecasts",2022-08-18,same_trading_day,0,0.4821672439575195,0.0890173465013504,0.4288153946399688,0.3931498974561691,positive,0.0,neutral,False,False,True,2022,Energy|2022,3935,4,0.0010165184243964421,983.75,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-03-23,XOM,Energy,Stock Buybacks vs. Dividends: Which is Most Tax-Efficient?,https://www.nasdaq.com/articles/stock-buybacks-vs.-dividends%3A-which-is-most-tax-efficient,,Stock Buybacks vs. Dividends: Which is Most Tax-Efficient?,2022-03-23,same_trading_day,0,0.0420876704156398,0.0374474599957466,0.9204648733139038,0.0046402104198932,neutral,0.0,neutral,True,False,False,2022,Energy|2022,3935,4,0.0010165184243964421,983.75,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-10-05,XOM,Energy,Traders Hit the Gas Pedal on Oil Stocks as OPEC+ Convenes,https://www.nasdaq.com/articles/traders-hit-the-gas-pedal-on-oil-stocks-as-opec-convenes,,Traders Hit the Gas Pedal on Oil Stocks as OPEC+ Convenes,2022-10-05,same_trading_day,0,0.1157831698656082,0.3794164955615997,0.5048003196716309,-0.2636333256959915,neutral,0.0,neutral,True,False,False,2022,Energy|2022,3935,4,0.0010165184243964421,983.75,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-06-09,CVX,Energy,Argentina says Chevron to invest $500 mln in Vaca Muerta shale area,https://www.nasdaq.com/articles/argentina-says-chevron-to-invest-%24500-mln-in-vaca-muerta-shale-area,,Argentina says Chevron to invest $500 mln in Vaca Muerta shale area,2023-06-09,same_trading_day,0,0.1046138927340507,0.0096026705577969,0.8857834339141846,0.0950112221762538,neutral,0.0,neutral,True,False,False,2023,Energy|2023,3566,3,0.0008412787436904094,1188.6666666666667,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-01-27,CVX,Energy,"Chevron Q4 Profit Up 25%, But Misses Estimates",https://www.nasdaq.com/articles/chevron-q4-profit-up-25-but-misses-estimates,,"Chevron Q4 Profit Up 25%, But Misses Estimates",2023-01-27,same_trading_day,0,0.9381623864173888,0.0380988605320453,0.0237387437373399,0.9000635258853436,positive,-0.1027,negative,False,True,False,2023,Energy|2023,3566,3,0.0008412787436904094,1188.6666666666667,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2023-02-17,OXY,Energy,"Notable Friday Option Activity: HUBS, OXY, SAGE",https://www.nasdaq.com/articles/notable-friday-option-activity%3A-hubs-oxy-sage,,"Notable Friday Option Activity: HUBS, OXY, SAGE",2023-02-17,same_trading_day,0,0.1009489148855209,0.0200461465865373,0.879004955291748,0.0809027682989835,neutral,0.0,neutral,True,False,False,2023,Energy|2023,3566,3,0.0008412787436904094,1188.6666666666667,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-12-21,GS,Financials,2 Financial Stocks I'd Buy Right Now,https://www.nasdaq.com/articles/2-financial-stocks-id-buy-right-now-2020-12-21,,2 Financial Stocks I'd Buy Right Now,2020-12-21,same_trading_day,0,0.0563865639269351,0.0169639978557825,0.9266494512557985,0.0394225660711526,neutral,0.0,neutral,True,False,False,2020,Financials|2020,2843,3,0.001055223355610271,947.6666666666666,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-12-01,MS,Financials,"Delisting renewables company PNE would have a price, says top investor",https://www.nasdaq.com/articles/delisting-renewables-company-pne-would-have-a-price-says-top-investor-2020-12-01,,"Delisting renewables company PNE would have a price, says top investor",2020-12-01,same_trading_day,0,0.0474085099995136,0.2420190125703811,0.7105724215507507,-0.1946105025708675,neutral,0.2023,positive,False,False,True,2020,Financials|2020,2843,3,0.001055223355610271,947.6666666666666,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2020-01-14,USB,Financials,Tuesday's Market Minute: Earnings Season 2020,https://www.benzinga.com/news/earnings/20/01/15119574/tuesdays-market-minute-earnings-season-2020,TD Ameritrade Network,Tuesday's Market Minute: Earnings Season 2020,2020-01-14,same_trading_day,0,0.0272166356444358,0.0820952653884887,0.8906880617141724,-0.0548786297440528,neutral,0.0,neutral,True,False,False,2020,Financials|2020,2843,3,0.001055223355610271,947.6666666666666,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-11-02,GS,Financials,Goldman Sachs highlights diversity in new managing director class,https://www.nasdaq.com/articles/goldman-sachs-highlights-diversity-in-new-managing-director-class-2021-11-02,,Goldman Sachs highlights diversity in new managing director class,2021-11-02,same_trading_day,0,0.2244766354560852,0.0271218549460172,0.7484014630317688,0.1973547805100679,neutral,0.0,neutral,True,False,False,2021,Financials|2021,2873,3,0.0010442046641141664,957.6666666666666,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-02-22,GS,Financials,"Noteworthy Monday Option Activity: AAL, ORCL, GS",https://www.nasdaq.com/articles/noteworthy-monday-option-activity%3A-aal-orcl-gs-2021-02-22,,"Noteworthy Monday Option Activity: AAL, ORCL, GS",2021-02-22,same_trading_day,0,0.0405731797218322,0.0259140152484178,0.9335128664970398,0.0146591644734144,neutral,0.0,neutral,True,False,False,2021,Financials|2021,2873,3,0.0010442046641141664,957.6666666666666,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2021-02-24,V,Financials,Why Mastercard and Visa Stocks Both Just Popped,https://www.nasdaq.com/articles/why-mastercard-and-visa-stocks-both-just-popped-2021-02-24,,Why Mastercard and Visa Stocks Both Just Popped,2021-02-24,same_trading_day,0,0.0440220721065998,0.0246581546962261,0.9313197135925292,0.0193639174103736,neutral,0.0,neutral,True,False,False,2021,Financials|2021,2873,3,0.0010442046641141664,957.6666666666666,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-09-17,MS,Financials,"3 Stock-Split Stocks Set to Soar by as Much as 101% From Their 52-Week Lows, According to Wall Street",https://www.nasdaq.com/articles/3-stock-split-stocks-set-to-soar-by-as-much-as-101-from-their-52-week-lows-according-to,,"3 Stock-Split Stocks Set to Soar by as Much as 101% From Their 52-Week Lows, According to Wall Street",2022-09-19,next_trading_day,2,0.8163147568702698,0.1513173282146453,0.0323678813874721,0.6649974286556244,positive,-0.2023,negative,False,True,False,2022,Financials|2022,3199,3,0.0009377930603313535,1066.3333333333333,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-05-31,MS,Financials,Morgan Stanley (MS) Stock Moves -0.36%: What You Should Know,https://www.nasdaq.com/articles/morgan-stanley-ms-stock-moves-0.36%3A-what-you-should-know,,Morgan Stanley (MS) Stock Moves -0.36%: What You Should Know,2022-05-31,same_trading_day,0,0.0539100803434848,0.0956943482160568,0.8503955602645874,-0.0417842678725719,neutral,0.0,neutral,True,False,False,2022,Financials|2022,3199,3,0.0009377930603313535,1066.3333333333333,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
2022-01-28,V,Financials,"S&P 500 Movers: WDC, V",https://www.nasdaq.com/articles/sp-500-movers%3A-wdc-v,,"S&P 500 Movers: WDC, V",2022-01-28,same_trading_day,0,0.0261324420571327,0.0328183621168136,0.9410492181777954,-0.0066859200596809,neutral,0.0,neutral,True,False,False,2022,Financials|2022,3199,3,0.0009377930603313535,1066.3333333333333,representative_evaluation,seed=5545; distinct-title sector-year stratified random sample; proportional largest-remainder allocation with at least one per nonempty stratum,pending student review,,,,
